lon,lat,elv,elv
-78.558,-0.559,3.22327,3223.27
-78.558,-0.562,3.28277,3282.77
-78.558,-0.564,3.31818,3318.18
-78.558,-0.567,3.33177,3331.77
-78.558,-0.57,3.29153,3291.53
-78.558,-0.573,3.27406,3274.06
-78.558,-0.575,3.39939,3399.39
-78.558,-0.578,3.41589,3415.89
-78.558,-0.581,3.44685,3446.85
-78.558,-0.584,3.43176,3431.76
-78.558,-0.586,3.49181,3491.81
-78.558,-0.589,3.54725,3547.25
-78.558,-0.592,3.58785,3587.85
-78.558,-0.595,3.59902,3599.02
-78.558,-0.597,3.62334,3623.34
-78.558,-0.6,3.66593,3665.93
-78.558,-0.603,3.74449,3744.49
-78.558,-0.605,3.80597,3805.97
-78.558,-0.608,3.73952,3739.52
-78.558,-0.611,3.65257,3652.57
-78.558,-0.614,3.59552,3595.52
-78.558,-0.616,3.56235,3562.35
-78.558,-0.619,3.53663,3536.63
-78.558,-0.622,3.50513,3505.13
-78.558,-0.625,3.49185,3491.85
-78.558,-0.627,3.47191,3471.91
-78.558,-0.63,3.46047,3460.47
-78.558,-0.633,3.45185,3451.85
-78.558,-0.636,3.44173,3441.73
-78.558,-0.638,3.44494,3444.94
-78.558,-0.641,3.44455,3444.55
-78.558,-0.644,3.45145,3451.45
-78.558,-0.647,3.44812,3448.12
-78.558,-0.649,3.44367,3443.67
-78.558,-0.652,3.43183,3431.83
-78.558,-0.655,3.40604,3406.04
-78.558,-0.658,3.39053,3390.53
-78.558,-0.66,3.37566,3375.66
-78.558,-0.663,3.36986,3369.86
-78.558,-0.666,3.3589,3358.9
-78.558,-0.669,3.33772,3337.72
-78.558,-0.671,3.33262,3332.62
-78.558,-0.674,3.29597,3295.97
-78.558,-0.677,3.28041,3280.41
-78.558,-0.68,3.28604,3286.04
-78.558,-0.682,3.30708,3307.08
-78.558,-0.685,3.2925,3292.5
-78.558,-0.688,3.26798,3267.98
-78.558,-0.691,3.25446,3254.46
-78.558,-0.693,3.26868,3268.68
-78.558,-0.696,3.26312,3263.12
-78.558,-0.699,3.261,3261
-78.558,-0.702,3.2553,3255.3
-78.558,-0.704,3.22906,3229.06
-78.558,-0.707,3.21938,3219.38
-78.558,-0.71,3.21196,3211.96
-78.558,-0.713,3.19033,3190.33
-78.558,-0.715,3.19098,3190.98
-78.558,-0.718,3.21731,3217.31
-78.558,-0.721,3.21978,3219.78
-78.558,-0.724,3.21133,3211.33
-78.558,-0.726,3.2071,3207.1
-78.558,-0.729,3.19827,3198.27
-78.558,-0.732,3.19232,3192.32
-78.558,-0.735,3.18245,3182.45
-78.558,-0.737,3.1552,3155.2
-78.558,-0.74,3.12693,3126.93
-78.558,-0.743,3.10323,3103.23
-78.558,-0.746,3.10885,3108.85
-78.558,-0.748,3.11536,3115.36
-78.558,-0.751,3.11294,3112.94
-78.558,-0.754,3.11153,3111.53
-78.558,-0.757,3.10183,3101.83
-78.558,-0.759,3.10359,3103.59
-78.558,-0.762,3.10343,3103.43
-78.558,-0.765,3.10438,3104.38
-78.558,-0.768,3.10756,3107.56
-78.558,-0.77,3.10513,3105.13
-78.558,-0.773,3.11495,3114.95
-78.558,-0.776,3.11647,3116.47
-78.558,-0.779,3.09132,3091.32
-78.558,-0.781,3.0933,3093.3
-78.558,-0.784,3.10877,3108.77
-78.558,-0.787,3.10782,3107.82
-78.558,-0.79,3.11002,3110.02
-78.558,-0.792,3.12375,3123.75
-78.558,-0.795,3.1076,3107.6
-78.558,-0.798,3.11265,3112.65
-78.558,-0.8,3.0902,3090.2
