"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","event_id","eq_type","event_type","station_count","quality_usedPhaseCount","evaluationStatus","creationInfo_author"
2023-01-15 06:57:12,-0.6673,3.5355,-78.4280,3.5355,-4.0000,6.4000,1.0608,igepn2023bamr,LP,volcanic eruption,6.0000,9.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-14 21:30:22,-0.8173,0.3536,-78.4562,0.3536,-7.0400,1.2000,1.0896,igepn2023azua,VT,volcanic eruption,6.0000,18.0000,reviewed,eacosta@srvpicados.igepn.edu.ec
2023-01-14 21:24:30,-0.6832,1.2021,-78.4252,1.2021,2.0000,3.4000,1.0004,igepn2023aztv,VLP,volcanic eruption,6.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-14 11:25:49,-0.7035,0.7071,-78.4372,0.7071,2.5600,3.5000,0.9104,igepn2023azab,VLP,volcanic eruption,7.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-14 10:47:15,-0.7015,0.6364,-78.4340,0.6364,1.5000,3.0000,1.1575,igepn2023ayyu,VT?,volcanic eruption,6.0000,12.0000,reviewed,aojeda@sc-gui.igepn.edu.ec
2023-01-14 08:58:18,-0.6787,0.7071,-78.4375,0.7071,3.2000,1.9000,0.8804,igepn2023ayve,VLP,volcanic eruption,5.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-14 08:48:58,-0.6800,0.8485,-78.4408,0.8485,2.0000,2.5000,0.7908,igepn2023ayux,VLP,volcanic eruption,7.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-14 05:30:30,-0.7035,0.5657,-78.4300,0.5657,1.5000,3.1000,0.9012,igepn2023ayoi,LP,volcanic eruption,7.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-14 02:26:18,-0.6652,0.9899,-78.4472,0.9899,4.1100,1.3000,0.3922,igepn2023ayig,TRE,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-14 01:19:40,-0.6883,0.6364,-78.4343,0.6364,3.6000,2.6000,1.4183,igepn2023aygb,VLP,volcanic eruption,6.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-13 23:45:50,-0.6887,1.0607,-78.4408,1.0607,2.0000,3.0000,0.9639,igepn2023aycy,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-13 04:46:02,-0.6773,0.6364,-78.4158,0.6364,3.0000,2.1000,1.3656,igepn2023awrj,LP,volcanic eruption,4.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-13 03:19:48,-0.7163,1.3435,-78.3723,1.3435,-6.0000,3.3000,0.3239,igepn2023awon,VT,volcanic eruption,6.0000,16.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-12 17:31:46,-0.7062,0.6364,-78.4320,0.6364,2.4500,3.3000,1.2875,igepn2023avvd,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-12 12:59:42,-0.5817,2.0506,-78.4527,2.0506,-4.6100,0.9000,0.6277,igepn2023avmd,VTD,volcanic eruption,4.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
